,Unnamed: 0,begin,end,filename,shot_id,transcript,topic,score
12533,12533,01:40:53:13,01:40:57:13,5258818087037440299.xml,1902,"Oh, it's Rainie's birthday card,  it's her birthday next week.",major life events,0.9908566474914551
22315,22315,01:07:29:19,01:07:30:11,5274434588125702436.xml,1222,She wants to throw some big party  for Whitney's birthday.,major life events,0.9908246994018555
16578,16578,01:00:22:12,01:00:25:06,5266645664934403562.xml,1147,"""I was sick and you visited me,  ""I was in prison and you came  unto me.""",major life events,0.9906288981437683
3816,3816,01:26:21:08,01:26:26:03,5248439298566680341.xml,1736,"We've got that stag do in the VIP,  and Ronnie's decided to do a two-for-one happy hour.",major life events,0.9905864596366882
1547,1547,01:23:18:23,01:23:20:02,5245830105934359183.xml,1548,"Don't take it to heart, darling.  It's Bianca's big night. Try and be happy for her.",major life events,0.9905862808227539
6722,6722,00:07:18:04,00:07:21:04,5253646087419594905.xml,113,We're past that now.  And I ain't a kid no more.,major life events,0.9905813932418823
7978,7978,01:17:54:18,01:18:00:15,5253646087419594905.xml,1369,So it's definitely happening?  It's happening.  You're moving to Birmingham. We're moving. ,major life events,0.9904783368110657
15795,15795,00:18:54:08,00:18:55:19,5266645664934403562.xml,364,"Abi, Lauren and Oscar  brought it on themselves?!",major life events,0.9904630184173584
2690,2690,00:31:46:10,00:31:48:17,5248439298566680341.xml,610,That he's moved in. ,major life events,0.9903982877731323
11054,11054,00:20:28:05,00:20:51:03,5258818087037440299.xml,423,"Aren't they gonna start asking  questions when the furniture goes? I'll tell them when I'm ready! Oh, when's that gonna be?  I don't know!  It's all moving too fast! Will you stop pushing me? I mean, two weeks!  I've barely got  my own head around it yet. I don't even know what I'm doing  about schools, or the salon. That's before I tell them they're  kissing everything they know goodbye. As long as it IS goodbye.",major life events,0.9903196096420288
19847,19847,00:42:33:11,00:42:37:08,5271844722846213628.xml,817,"Oh, why did you have to be gay? ",major life events,0.9903122186660767
11912,11912,01:04:28:07,01:04:31:00,5258818087037440299.xml,1281,"My, my!  You have had a busy morning.  Yeah.  Yeah, she filled me in on your new ""supergrass"" status.",major life events,0.9900826215744019
23079,23079,01:51:57:02,01:51:59:09,5274434588125702436.xml,1986,and Uncle Jack's just left us. ,major life events,0.9899351000785828
13153,13153,00:14:19:24,00:14:23:18,5264050645694159353.xml,304,"Listen, Ronnie, Jack Branning  leaving Walford will be the best thing that ever happened to you.",major life events,0.9898549318313599
236,236,00:14:38:14,00:14:40:12,5245830105934359183.xml,237,You nervous about your big date? ,major life events,0.9897705316543579
16352,16352,00:46:02:10,00:46:07:08,5266645664934403562.xml,921,He destroyed my life. ,major life events,0.9896945357322693
14255,14255,01:14:51:07,01:14:54:05,5264050645694159353.xml,1406,"That's my wife!  Tanya's made her choice, all right?  She's an adult.",major life events,0.9896197319030762
10296,10296,01:32:48:20,01:32:51:00,5256228221757951173.xml,1585,you date someone new.  I thought I was your girlfriend.,major life events,0.989608883857727
9060,9060,00:19:52:08,00:19:55:12,5256228221757951173.xml,349,"Pat...  You've changed, Peggy. ",major life events,0.9894852638244629
16988,16988,01:24:19:01,01:24:23:23,5266645664934403562.xml,1557,"you would never,  ever wake up again.",major life events,0.9894552826881409
4744,4744,00:22:08:17,00:22:17:13,5251033029316736209.xml,428,My dad's uncle died  when I was in prison.,major life events,0.9894520044326782
12369,12369,01:29:34:20,01:30:13:23,5258818087037440299.xml,1738,"This isn't right.  I thought you loved pepperoni.  Tan, come on, lighten up. Well, maybe I'm just not  in a very jokey mood tonight. Oh, right, cos my life's just  one big laugh at the moment. Very soon, some judge  will rubber stamp some form and 14 years of marriage,  14 years of us, will be over. And what?  We can't even manage  to sit around the same table, eat a bit of pizza and talk? We fallen that far?  And I got them to put  extra mushrooms on for you.",major life events,0.9894131422042847
3392,3392,01:05:52:20,01:05:56:14,5248439298566680341.xml,1312,"Tiff was screaming her head off,  an' to top it all the wheel on me buggy broke.",major life events,0.9894115328788757
4605,4605,00:14:52:03,00:14:55:04,5251033029316736209.xml,289,"Mind you, we're more or less married  already, in't we? Yeah, suppose.",major life events,0.9893580079078674
15483,15483,00:02:26:13,00:02:28:11,5266645664934403562.xml,52,"Your brother wakes up and everything  comes out about this gun, I'm finished. I didn't do anything.",major life events,0.9891195893287659
22403,22403,01:11:18:22,01:11:22:05,5274434588125702436.xml,1310,"Cos of your lies, Tanya's in prison,  separated from her kids! Jack didn't try to kill you,  all right?!  Tanya did!",major life events,0.9890949130058289
11479,11479,00:42:08:12,00:42:15:10,5258818087037440299.xml,848,You are happy about moving?  Yeah.  Yeah.  It's just it  suddenly all feels so real.,major life events,0.9890821576118469
22811,22811,01:33:40:22,01:33:41:20,5274434588125702436.xml,1718,And I'm not 17 any more.  And  things aren't where they used to be.,major life events,0.989058256149292
14602,14602,01:34:31:19,01:34:36:04,5264050645694159353.xml,1753,The attack?  Everything? ,major life events,0.9890015125274658
15660,15660,00:11:25:23,00:11:29:17,5266645664934403562.xml,229,Where were you when Max Branning  was run over? I was out.  Where?,major life events,0.9889522194862366
8550,8550,01:48:30:05,01:48:31:15,5253646087419594905.xml,1941,I will be moving to Birmingham. ,major life events,0.9889081120491028
13142,13142,00:13:37:01,00:13:39:00,5264050645694159353.xml,293,What?  We've got a sausage roll crisis.,major life events,0.9888595342636108
21020,21020,01:50:44:17,01:50:57:02,5271844722846213628.xml,1990,"This is it then, is it?  The new you?  Mum...  Don't bother to say it. I'm going. I'll phone Jane,  then I'll pack my things.",major life events,0.9887620210647583
21113,21113,00:01:27:06,00:01:31:09,5274434588125702436.xml,20,You're looking at me  and putting me off! It's gonna be for real  at the end of the week.,major life events,0.9887604117393494
17299,17299,01:41:46:00,01:41:56:13,5266645664934403562.xml,1868,His 16th birthday...  We didn't see him for seven years. ,major life events,0.9887283444404602
3067,3067,00:50:22:16,00:50:26:17,5248439298566680341.xml,987,Look at it this way.  Musty will die. ,major life events,0.9887191653251648
15434,15434,00:00:01:12,00:00:25:09,5266645664934403562.xml,3,Where were you when Max Branning was run over?,major life events,0.9886783957481384
5655,5655,01:09:25:07,01:09:29:10,5251033029316736209.xml,1339,"What's wrong with it?  Everything. I was widowed in December, Suzy.  Right.",major life events,0.9886305332183838
13619,13619,00:38:38:18,00:38:46:08,5264050645694159353.xml,770,"And Cain rose up against  his brother Abel. Jack's innocent, Dot, you know that.",major life events,0.9885267019271851
20142,20142,00:58:19:09,00:58:22:18,5271844722846213628.xml,1112,Listen.  They're gonna  wake your dad up tonight.,major life events,0.9884806871414185
15964,15964,00:27:05:18,00:27:08:00,5266645664934403562.xml,533,It's hit them hard.  Like when I nearly lost you. ,major life events,0.9884604215621948
13437,13437,00:29:12:17,00:29:31:22,5264050645694159353.xml,588,"We'd just like to clarify  a few things on your statement. Well, breakfast would be nice.  Are you sure you  don't want a solicitor? As ex-Old Bill, you know the  seriousness of these allegations - possession of a firearm,  attempted murder.  Look, he made it all up.  To stop you from running off with  his wife? They're getting divorced. It's his fault not mine.",major life events,0.9884416460990906
220,220,00:13:49:12,00:13:51:17,5245830105934359183.xml,221,"You all right?  Oh, I forgot to say, me and Suzy just moved in.",major life events,0.9884243011474609
10645,10645,00:00:41:16,00:00:45:07,5258818087037440299.xml,14,"We're really going, ain't we?  Yeah, if they accept the offer.",major life events,0.9883607625961304
9457,9457,00:43:30:01,00:43:31:21,5256228221757951173.xml,746,"You killed my dad, Dawn.  And I hate ya!",major life events,0.9883556962013245
18344,18344,00:47:17:05,00:47:40:00,5269245838135402929.xml,808,"However, this is an extremely  serious charge, and with the victim now critical in  hospital, perhaps soon more serious still. With that in mind, and having  ascertained that adequate childcare protection has been made, the application for bail is denied.  The accused will be remanded in  custody until the trial date. Thank you.  Stand please. No.  No.  NO!  You can't.  Please.  No,  wait.  I want to be with my kids.",major life events,0.9883404970169067
20110,20110,00:56:43:18,00:56:47:22,5271844722846213628.xml,1080,..we have decided to bring  up the baby together.,major life events,0.9883121252059937
9893,9893,01:08:46:20,01:08:49:00,5256228221757951173.xml,1182,"or we won't come up with anything  for her wedding outfit,",major life events,0.988298773765564
21931,21931,00:46:47:00,00:46:48:10,5274434588125702436.xml,838,He's had his hands full.  Especially  with them missing their mum.,major life events,0.9882224798202515
19348,19348,00:16:51:05,00:16:53:07,5271844722846213628.xml,318,Your mum's going home  on the next flight.,major life events,0.988207221031189
18982,18982,01:24:12:20,01:24:14:13,5269245838135402929.xml,1446,"Oh, Archie!  Her water's broken. ",major life events,0.9881976246833801
3540,3540,01:12:11:04,01:12:16:22,5248439298566680341.xml,1460,"She can't lose both of them  in the same day, it'll kill her. Yeah, and if spend one more night  with this cat, it'll kill ME!",major life events,0.9881962537765503
15076,15076,02:02:06:08,02:02:16:24,5264050645694159353.xml,2227,"Well, Mum,  I'm not your Squiggle any more. I'm an adult,  whether you like it or not! You done?  Yeah.",major life events,0.988117516040802
15748,15748,00:16:33:12,00:16:41:00,5266645664934403562.xml,317,"Where were you when the car  hit your brother? Tell us where you were, Jack. ",major life events,0.988117516040802
16161,16161,00:35:57:09,00:36:00:03,5266645664934403562.xml,730,"When this baby comes, I'm going  to need my family around me.",major life events,0.9880901575088501
7616,7616,00:56:21:24,00:56:26:00,5253646087419594905.xml,1007,"we all need time to get used to it.  You proposing's a bit of a headrush for everyone. Cold feet, Tony?",major life events,0.9880807399749756
4719,4719,00:20:37:21,00:20:41:10,5251033029316736209.xml,403,"Would you have a white wedding, Whit? ",major life events,0.9879179000854492
17729,17729,00:08:19:06,00:08:22:11,5269245838135402929.xml,193,I've just seen my brother in  intensive care.  Tubes everywhere.,major life events,0.9877812266349792
1677,1677,01:31:26:15,01:31:31:10,5245830105934359183.xml,1678,He's been a dad to Tiff and Liam. ,major life events,0.9877411723136902
612,612,00:34:58:04,00:34:59:11,5245830105934359183.xml,613,Now that my Tony babe  is coming home.,major life events,0.9877400994300842
7960,7960,01:16:56:12,01:16:57:24,5253646087419594905.xml,1351,"What, getting knocked up at fourteen?  No, I don't think so. That young?",major life events,0.9876775145530701
9134,9134,00:23:57:06,00:24:21:08,5256228221757951173.xml,423,"So, you back, then?  It's Jase's funeral tomorrow.  I just  wondered if you'd come with me? Oh...  Thing is, Dawn,  I've got quite a lot on, you know. I can't just drop everything.  Jase never had many friends  round here. I think he'd like you to have come.  Especially seeing as you were  with him that night.",major life events,0.9876230955123901
21964,21964,00:48:34:20,00:48:37:10,5274434588125702436.xml,871,"Denise and Lucas?  Now, you're sure? ",major life events,0.9875878691673279
10035,10035,01:16:54:13,01:17:06:22,5256228221757951173.xml,1324,"What's happened...  ..is me and Honey,  we split up, all right?",major life events,0.9875388741493225
2611,2611,00:28:05:01,00:28:08:21,5248439298566680341.xml,531,What have we been through  the last 12 months for if you're just gonna throw it away? ,major life events,0.9873182773590088
