,sid,filename,begin,end,transcript,description,caption,chars_query,selected_character,chars_all
23,175-24,5531550228324592939.xml,80.02,82.17,"and I'm going to put it out there.  Yes, I am.",,a man is holding a woman s face and kisses her,,,
24,175-25,5531550228324592939.xml,82.18,83.17,,,a woman is dancing in a room,Ryan,,
25,175-26,5531550228324592939.xml,83.18,86.23,"Sounds great.  So you coming tonight, then? You don't think a pregnant bird  reeking of jalfrezi might cramp your style? Maybe.",,a woman is talking to a man and he is smiling,,,
26,175-27,5531550228324592939.xml,86.24,87.15,,,a man is dancing in front of a mirror,Ryan,,
27,175-28,5531550228324592939.xml,87.16,89.2,,,a man is dancing in a kitchen,Janine Ryan,Janine,
28,175-29,5531550228324592939.xml,89.21,90.18,,,a woman with long hair is smiling and talking,Janine,Janine,
29,175-30,5531550228324592939.xml,90.19,92.13,Hi. I've not got an appointment. ,,a man is kissing a woman s hand,Ryan,,
30,175-31,5531550228324592939.xml,92.14,93.14,"No, it's all right, no worries. ",,a woman is holding a glass and making a face,Ryan,,
31,175-32,5531550228324592939.xml,93.15,94.14,,,a woman is dancing on stage with a microphone,,,
32,175-33,5531550228324592939.xml,94.15,94.21,,,a woman is dancing in front of a mirror,,,
33,175-34,5531550228324592939.xml,94.22,96.21,"I'll be with you in a minute.  Just take a seat. Look, come out tonight, it'll be a laugh.",,a woman is talking to a man and he is smiling,,,
34,175-35,5531550228324592939.xml,96.22,97.2,,,a woman is smiling and waving her hand,,,
35,175-36,5531550228324592939.xml,97.21,99.14,"How about you, Janice?  R&R's tonight?",,a woman is smiling and making a face,Janine,Janine,
36,175-37,5531550228324592939.xml,99.15,101.18,,,a woman is pouring a drink into a glass,Ryan,,
37,175-38,5531550228324592939.xml,101.19,106.01,Happy Monday.  It'll be Miserable Monday if she shows her face.,,a woman is smiling and making a face,Janine,Janine,
38,175-39,5531550228324592939.xml,106.02,116.2,"Oh, Kat, I didn't see you there  underneath all that make-up. I'm not sensing a lot  of sisterly love in the room. Look, I'll see you tonight, yeah? ",,a woman is holding a bottle of wine in her hand,Ryan,,
39,175-40,5531550228324592939.xml,116.21,121.0,"Not if she's going.  Oh, don't worry about me. I'm having a nice night in with my husband. Ryan, you know, the one that's  married to me,",,a woman with long hair is smiling and talking,Janine,Janine,
40,175-41,5531550228324592939.xml,121.01,123.21,"not Stacey.  You know, Kim, you should watch who you let in here.",,a woman with long hair is smiling and talking,Ryan,,
41,175-42,5531550228324592939.xml,123.22,126.0,She stays anywhere longer  than three minutes,,a woman is talking to a man who is wearing a red shirt,Ryan,,
42,175-43,5531550228324592939.xml,126.01,127.21,,,a woman with long hair is talking and smiling,,,
43,175-44,5531550228324592939.xml,127.22,136.08,and the council have to send in pest  control to fumigate the place. He'd be a grown-up now.  Probably have his own family. ,,a man is walking and then he stops and looks at his friend,Janine Ryan,Janine,
44,175-45,5531550228324592939.xml,136.09,137.02,,,a man is walking down a street and then he stops and looks at the ground,,,
45,175-46,5531550228324592939.xml,137.03,138.15,,,a man is riding a bicycle down a path,Ryan,,
46,175-47,5531550228324592939.xml,138.16,139.08,,,a man and a woman are walking down a path,,,
47,175-48,5531550228324592939.xml,139.09,149.0,"I mean...  healthy, no problems?  Yeah. He was perfect.  So why didn't you tell me  that I was the father?",,a man and a woman are walking down a street,Ryan,,
48,175-49,5531550228324592939.xml,149.01,151.02,Because I was frightened  of what they might do to you.,,a man is walking down a street and then he stops,,,
49,175-50,5531550228324592939.xml,151.03,154.01,,,a man and a woman are walking down a street,Ryan,,
50,175-51,5531550228324592939.xml,154.02,155.08,Shut up. ,,a man is walking and smiling at someone,,,Julie
51,175-52,5531550228324592939.xml,155.09,158.17,Do you want to...? ,,a man is walking down a street and then he stops,Ryan,,
52,175-53,5531550228324592939.xml,158.18,177.24,"Mason said that you'd gone to stay  with some distant aunt or something. He lied.  They sent me to a home up north.  Somewhere nicer to have the baby  they said. Really nice place(!) All the other  kids called me the cockney tart, and a week after he was born  they took him away.",,a man is walking down a street and talking to another man,Ryan,,Julie
53,175-54,5531550228324592939.xml,178.0,180.21,"So not only did he muck up  our lives,",,a man is smiling and laughing while he is walking,Ryan,,Billy
54,175-55,5531550228324592939.xml,180.22,181.23,,,a woman is talking to a man and he is smiling,,,Julie
55,175-56,5531550228324592939.xml,181.24,183.04,"but Mason,  he ruined our kid's as well.",,a man is walking and smiling at someone,,,Billy
56,175-57,5531550228324592939.xml,183.05,184.13,,,a man is talking to a woman and she is smiling,Ryan,,Julie
57,175-58,5531550228324592939.xml,184.14,185.16,,,a man is walking down a street and smiling,,,
58,175-59,5531550228324592939.xml,185.17,186.12,,,a man is walking down a path with a serious look on his face,,,
59,175-60,5531550228324592939.xml,186.13,189.15,,,a man is holding a banana in his hands,Ryan,,
60,175-61,5531550228324592939.xml,189.16,198.17,Hey.  What?  Just saying hello. All right?,,a woman is holding a bouquet of flowers,Ryan,Ryan,Ryan
61,175-62,5531550228324592939.xml,198.18,199.22,,,a man is talking to a woman and she is smiling,Ryan,,
62,175-63,5531550228324592939.xml,199.23,204.06,"How much are these?  Fiver. What, end of the day?  I'll give you Â£3.49.",,a man is talking to a woman and she is smiling,Ryan,Ryan,Ryan
63,175-64,5531550228324592939.xml,204.07,206.07,,,a man and woman are walking down a hallway,Ryan,,
64,175-65,5531550228324592939.xml,206.08,207.23,Go on then. ,,a man is walking down a street and then he stops,Ryan,Ryan,Ryan
65,175-66,5531550228324592939.xml,207.24,208.01,,,a man is walking in a crowd with a group of people,Ryan,Ryan,Ryan
66,175-67,5531550228324592939.xml,208.02,210.11,,,a woman is dancing in front of a window,Ryan,,
67,175-68,5531550228324592939.xml,210.12,213.0,,,a man is walking and smiling at a woman,Ryan,Ryan,Ryan
68,175-69,5531550228324592939.xml,213.01,216.02,Thanks. ,,a woman is talking to a man and he is smiling,,,
69,175-70,5531550228324592939.xml,216.03,216.2,,,a woman is walking down a hallway and talking,,,
70,175-71,5531550228324592939.xml,216.21,217.06,"Jean, you fancy a night out  tonight? You, me and Stace?",,a woman is kissing a man on the cheek,,,
71,175-72,5531550228324592939.xml,217.07,219.17,,,a woman is talking to a man in a suit,Ryan,,
72,175-73,5531550228324592939.xml,219.18,220.23,"Oh, Charlie's doing his curry. ",,a man is walking down a hallway and then stops,,,
73,175-74,5531550228324592939.xml,220.24,222.12,"It's all right, that'll freeze.  That's if it ain't taken the bottoms off the pans.",,a woman is talking to a man and he is smiling,,,
74,175-75,5531550228324592939.xml,222.13,224.08,,,a woman is walking down a hallway with a man,,,
75,175-76,5531550228324592939.xml,224.09,225.18,,,a woman is talking to a man and he is smiling,,,
76,175-77,5531550228324592939.xml,225.19,227.18,"Come on, when's the last time  you went crazy on a Monday night?",,a woman is talking to a man and he is smiling,Janine,,
77,175-78,5531550228324592939.xml,227.19,232.03,"Yeah, scrub that. Look, let's just  go home, put on a bit of lippy and see the bright lights of Walford.",,a woman is holding a baby and smiling,,,
78,175-79,5531550228324592939.xml,232.04,235.15,,,a man is walking and smiling at someone,Janine Ryan,,Jean
79,175-80,5531550228324592939.xml,235.16,237.01,I didn't know Walford  had any bright lights.,,a woman is talking to a man and he is smiling,,,
80,175-81,5531550228324592939.xml,237.02,240.12,"That's cos you ain't seen it  through my eyes, sweetheart. Kat, I'm closing up.",,a woman is walking down a hallway with a man,Ryan,,
81,175-82,5531550228324592939.xml,240.13,243.05,Nan's gone to bingo.  I need to get back for Lily.,,a woman is talking to a man and he is smiling,,,
82,175-83,5531550228324592939.xml,243.06,244.2,,,a woman is walking down a hallway and smiling,,,
83,175-84,5531550228324592939.xml,244.21,246.13,What? ,,a woman is talking to a man and he is smiling,Ryan,,
84,175-85,5531550228324592939.xml,246.14,248.1,Kat wants us to go out.  But Uncle Charlie's making his curry tonight.,,a woman is walking and smiling at a man,Stacey,Stacey,
85,175-86,5531550228324592939.xml,248.11,251.08,He gets a cookery book out once  a leap year and we're all meant to line up like a load of Oliver Twists?,,a woman is walking down a street and talking to a man,,,
86,175-87,5531550228324592939.xml,251.09,253.17,,,a woman is smiling and talking to a man,Stacey,Stacey,
87,175-88,5531550228324592939.xml,253.18,255.04,,,a woman is talking to a man and he is smiling,,,
88,175-89,5531550228324592939.xml,255.05,256.12,"No, we're going out.  I've got an early start in the morning.",,a woman is walking and smiling at someone,Stacey,,
89,175-90,5531550228324592939.xml,256.13,257.15,,,a woman is talking to a man and he is smiling,,,
90,175-91,5531550228324592939.xml,257.16,259.05,"I don't believe this.  And are you sure, cos little one needs a bit of rest.",,a woman is talking to a man and he is smiling,Stacey Ryan,,Jean
91,175-92,5531550228324592939.xml,259.06,262.07,,,a woman is holding a baby and a man is watching,,,
92,175-93,5531550228324592939.xml,262.08,264.03,"You know what your problem is,  you two? You've forgotten how to have fun.",,a woman is talking to a man and smiling,Stacey,,
93,175-94,5531550228324592939.xml,264.04,265.04,,,a woman holding a baby in a pink shirt,,,
94,175-95,5531550228324592939.xml,265.05,272.21,No more excuses.  We're going out tonight and we're going to have a good time. TV:  'New York Knickerbockers. Correct.,,a woman is talking to a man and he is smiling,Stacey Ryan,Stacey,
95,175-96,5531550228324592939.xml,272.22,273.21,,,a man is sitting in a room and talking,Ryan,,
96,175-97,5531550228324592939.xml,273.22,273.24,,,a woman is sitting on a bed and smiling,,,
97,175-98,5531550228324592939.xml,274.0,274.15,,,a woman is sitting on a couch and smiling,Ryan,,
98,175-99,5531550228324592939.xml,274.16,275.0,'And your question.  In the game of tennis...',,a man is kissing a woman on the cheek,,,
99,175-100,5531550228324592939.xml,275.01,276.05,,,a man is sitting in a bed and talking,,,
100,175-101,5531550228324592939.xml,276.06,277.08,,,a woman is smiling and then she smiles,,,
101,175-102,5531550228324592939.xml,277.09,279.17,"Whit's not been home for her dinner.  No, she's gone out for something to eat with Pete. Pete?",,a man is sitting on a bed and talking,Ryan,,
102,175-103,5531550228324592939.xml,279.18,280.18,,,a woman is smiling and laughing while talking,Janine,,
103,175-104,5531550228324592939.xml,280.19,281.24,,,a man is sitting on a bed and talking,,,
104,175-105,5531550228324592939.xml,282.0,284.13,"Yeah, Peter. Peter Beale.  She's going out with Peter Beale now?",,a young man is sitting on a bed and smiling,Ryan,,
105,175-106,5531550228324592939.xml,284.14,285.21,,,a man is sitting on a bed and talking,,,
106,175-107,5531550228324592939.xml,285.22,288.21,"It's only for something to eat.  Don't hang about, does she?",,a young man is sitting on a bed and smiling,Ryan,,
107,175-108,5531550228324592939.xml,288.22,290.06,,,a woman is smiling and then she smiles,,,
108,175-109,5531550228324592939.xml,290.07,292.01,She's just gone out with a friend.  What about Billie?,,a woman laying on a bed with a stuffed animal,Ryan,,
109,175-110,5531550228324592939.xml,292.02,293.11,,,a man is smiling and then he looks away,Janine,,
110,175-111,5531550228324592939.xml,293.12,295.23,"Well, look, you know, Whitney needs  someone at the moment. You know, someone to make her feel good.",,a man is sitting on a bed and talking,,,
111,175-112,5531550228324592939.xml,295.24,299.23,,,a young man is sitting on a bed and smiling,Ryan,,
112,175-113,5531550228324592939.xml,299.24,301.13,Really? ,,a man is sitting on a bed and talking,,,
113,175-114,5531550228324592939.xml,301.14,302.12,"Her life's got to keep going, Mum. ",,a young man is smiling and laughing,Janine,,
114,175-115,5531550228324592939.xml,302.13,306.09,Who says? Who says her life's  got to keep going? Or mine?,,a woman sitting on a bed with a stuffed animal,Ryan,,
115,175-116,5531550228324592939.xml,306.1,306.12,,,a man is sitting on a bed and talking,,,
116,175-117,5531550228324592939.xml,306.13,308.16,,,a man is looking at a woman and she is looking at him,Ryan,,
117,175-118,5531550228324592939.xml,308.17,309.1,"Cos Billie's isn't, is it? ",,a man is sitting on a bed and talking,,,
118,175-119,5531550228324592939.xml,309.11,313.1,,,a woman is smiling and then she smiles,Janine,,
119,175-120,5531550228324592939.xml,313.11,315.23,,DOOR SLAMS ,a man is sitting on a bed and talking,Ryan,,
120,175-121,5531550228324592939.xml,315.24,320.09,"TV:  'In the West Indies.' I got to feed him a couple of times,  then he was gone.",,a man is riding a skateboard and doing a jump,Ryan,,Julie
121,175-122,5531550228324592939.xml,320.1,323.02,"Into care?  No. Into a family, a good family.",,a woman is talking to a man and he is smiling,,,
122,175-123,5531550228324592939.xml,323.03,326.11,You don't know that.  They promised me that.,,a man is smiling and talking to a woman,Ryan,Ryan,Billy
123,175-124,5531550228324592939.xml,326.12,330.02,"He could have been with us.  Couple of care home kids,  what start in life is that?",,a man is talking and smiling while wearing a white shirt,Ryan,,Julie
124,175-125,5531550228324592939.xml,330.03,333.18,"Well, better than we had! ",,a man is talking to a woman and she is smiling,,,
125,175-126,5531550228324592939.xml,333.19,334.17,"We could have been a family.  He got better than us, Billy.",,a woman is talking and smiling and laughing,,,
126,175-127,5531550228324592939.xml,334.18,336.2,,,a man is talking to a woman and she is smiling,,,
127,175-128,5531550228324592939.xml,336.21,338.1,"He got a proper family, nice people  with jobs and all of that.",,a woman is talking and smiling and laughing,,,Julie
128,175-129,5531550228324592939.xml,338.11,340.12,,,a man is talking to a woman and she is smiling,,,
129,175-130,5531550228324592939.xml,340.13,342.11,They shouldn't take kids away. ,,a woman is talking and smiling at someone,,,
130,175-131,5531550228324592939.xml,342.12,345.2,"Well, we didn't have any parents,  but we had each other.",,a man is talking to a woman and she is smiling,,,Billy
131,175-132,5531550228324592939.xml,345.21,347.16,You shouldn't have come here! ,,a man is talking and smiling while wearing a white shirt,,,Julie
132,175-133,5531550228324592939.xml,347.17,350.04,"You should have just have kept  all this to yourself. Now you've put it all on me, in't ya?",,a man is talking to a woman and she is smiling,Ryan,,
133,175-134,5531550228324592939.xml,350.05,351.19,,,a man is talking and smiling while wearing a hat,,,
134,175-135,5531550228324592939.xml,351.2,354.14,"Yeah. Yeah, I have. ",,a man is riding a skateboard and then falls,,,
135,175-136,5531550228324592939.xml,354.15,355.07,,,a woman is looking at something and smiling,,,
136,175-137,5531550228324592939.xml,355.08,361.0,"Time changes nothing for you,  does it, eh? Still the same old self-pity. Still the same old skidmark.  Still the same old Billy.",,a man is talking to a woman and she is smiling,Ryan,,Julie
137,175-138,5531550228324592939.xml,361.01,374.06,Yo. I got the shopping. ,,a man is looking at something and then he looks away,Ryan,Ryan,Ryan
138,175-139,5531550228324592939.xml,374.07,375.21,Great.  And I got you these.,,a man in a green jacket is dancing,Ryan,Ryan,Ryan
139,175-140,5531550228324592939.xml,375.22,379.15,,,a woman is sitting on a bed and smiling,Janine,Janine,
140,175-141,5531550228324592939.xml,379.16,380.23,What have you done wrong?  Nothing.,,a man is standing in a room with a green plant,Ryan,Ryan,Ryan
141,175-142,5531550228324592939.xml,380.24,381.16,,,a woman is holding a baby and smiling,Janine,Janine,
142,175-143,5531550228324592939.xml,381.17,382.2,,,a man standing in a kitchen holding a blender,Ryan,Ryan,Ryan
143,175-144,5531550228324592939.xml,382.21,385.2,"Flowers?  Yeah, for my beautiful wife. I was thinking maybe we could go out  and have a couple of drinks tonight.",,a man is holding a box and then <unk>,Janine,Janine,
144,175-145,5531550228324592939.xml,385.21,387.03,,,a man in a green shirt is standing in a kitchen,Ryan,Ryan,Ryan
145,175-146,5531550228324592939.xml,387.04,389.12,,,a woman is talking to a man and he is smiling,Janine,Janine,
146,175-147,5531550228324592939.xml,389.13,393.17,"I thought you said  we were on an economy drive. We are, tomorrow. But tonight,  I wanted to take you out.",,a man is looking at a woman and then he looks away,Ryan,Ryan,
147,175-148,5531550228324592939.xml,393.18,397.16,How d'you feel about the R&R?  Apparently they've got a special night going on.,,a man is drinking from a glass while another man looks on,Janine,Janine,
148,175-149,5531550228324592939.xml,397.17,399.2,Give us a chance to bust our moves  on the dance floor.,,a man is kissing a woman s hand,Ryan,Ryan,
149,175-150,5531550228324592939.xml,399.21,403.24,The R&R? ,,a woman is drinking from a glass,Janine,Janine,
150,175-151,5531550228324592939.xml,404.0,410.1,"Come on, it'll be good.  I thought you usually wanted  to go up to the High Street.",,a man is talking to a woman and she is smiling,Janine Ryan,Ryan,Ryan
151,175-152,5531550228324592939.xml,410.11,414.24,"Yeah, but change of scenery.  All right, then, yeah, let's do it.",,a woman is talking to a man and he is smiling,Janine,Janine,
152,175-153,5531550228324592939.xml,415.0,416.16,,,a man is sitting in a chair and smiling,Janine Ryan,,
153,175-154,5531550228324592939.xml,416.17,417.11,Good. ,,a woman is looking at a man and then he looks away,,,
154,175-155,5531550228324592939.xml,417.12,420.21,Just the two of us. ,,a woman is talking to a man and he looks away,Janine,Janine,Janine
155,175-156,5531550228324592939.xml,420.22,426.08,"Yeah, well just give me a call.  I can't seem to get hold of Mum.  Can you have a little walk round the square,",,a man is dancing in a kitchen,,,
156,175-157,5531550228324592939.xml,426.09,427.21,,,a man is kissing a woman on the cheek,,,
157,175-158,5531550228324592939.xml,427.22,432.2,"see if you can find her.  Me? It's your fault. ""Someone to make you feel good."" I was only thinking of Whitney.  Don't think, stick to what you do best - what I tell you! Kids! Bath!",,a man is talking to a woman and she is smiling,,,
158,175-159,5531550228324592939.xml,432.21,436.1,,,a man is looking at a woman and then he looks away,,,
159,175-160,5531550228324592939.xml,436.11,440.2,,,a man is talking to a woman and she is smiling,Ryan,,
160,175-161,5531550228324592939.xml,440.21,443.17,,,a glass of wine is sitting on a shelf,,,
161,175-162,5531550228324592939.xml,443.18,445.03,,,a man is playing a piano and singing,,,
162,175-163,5531550228324592939.xml,445.04,464.04,"Didn't have you down as an R&R type.  It's Happy Monday.  You happy, then? Me neither.  All right if I join you?  If you must. No wonder you're on your own.  Yeah, well,  maybe I want to be on my own. Fine.",,a man is kissing a woman on her cheek,Ryan,,
163,175-164,5531550228324592939.xml,464.05,468.08,"Stay if you want.  Look, don't do me any favours.",,a man is talking to a woman and she is smiling,Ryan,,Billy
164,175-165,5531550228324592939.xml,468.09,470.02,"Woe is you, eh, Billy?  What's happened?",,a man is talking to a woman and she is smiling,Ryan,,
165,175-166,5531550228324592939.xml,470.03,473.18,"You lost another dead end job?  Something like that, yeah.  Have a drink.",,a man is talking to a woman and she is smiling,,,
166,175-167,5531550228324592939.xml,473.19,474.17,,,a man is talking to a woman while she is talking to her,Janine,,
167,175-168,5531550228324592939.xml,474.18,477.02,What can I get you?  Another gin and tonic. And he can have the other one.,,a man is sitting at a table with a woman,,,
168,175-169,5531550228324592939.xml,477.03,478.11,,,a man is talking to a woman and she is smiling,,,
169,175-170,5531550228324592939.xml,478.12,478.19,,,a man is talking to a woman while she is talking to her,,,
170,175-171,5531550228324592939.xml,478.2,479.24,"And give us a couple of whiskies  as well, please. Mixing drinks already, Billy?",,a man is talking to a woman and she is smiling,,,
171,175-172,5531550228324592939.xml,480.0,480.22,,,a man is talking to a woman while she is looking at her,,,
172,175-173,5531550228324592939.xml,480.23,482.03,,,a man is talking to a woman and she is smiling,,,
173,175-174,5531550228324592939.xml,482.04,483.15,"Well, it's been one of them days.  Been one of those weeks.",,a man is cutting a cake with a sword,Ryan,,
174,175-175,5531550228324592939.xml,483.16,484.17,,,a woman is drinking wine out of a wine glass,,,
175,175-176,5531550228324592939.xml,484.18,485.06,,,a person is pouring a drink into a cup,,,
176,175-177,5531550228324592939.xml,485.07,486.19,,,a person is pouring a drink into a glass,,,
177,175-178,5531550228324592939.xml,486.2,495.04,"Bond, Bovington, Bobby Moore.  And of course, Byrne.  What a player. Happy days, eh, Charlie?  Not much.",,a man in a kitchen preparing food in a kitchen,Ryan,,
178,175-179,5531550228324592939.xml,495.05,500.12,"Dad, Alfie, we're going out.  Your dinner's ready.  You need to be taking it easy. You need to take a rest, Kat.",,a man in a kitchen with a woman in a hat,Ryan,,
179,175-180,5531550228324592939.xml,500.13,503.11,"Look, I need a night out,  or I'm going to go bonkers.",,a man and woman are dancing in a living room,Stacey Ryan,Stacey,
180,175-181,5531550228324592939.xml,503.12,504.19,,,a man is dancing in a living room,,,
181,175-182,5531550228324592939.xml,504.2,506.15,"Who'll help me at the bar?  Oh, so that's what you're worried about.",,a man in a kitchen with a woman in a hat,,,
182,175-183,5531550228324592939.xml,506.16,511.22,"No.  I can run around serving beer and cleaning up after you,",,a man is dancing in a living room,Stacey,Stacey,
183,175-184,5531550228324592939.xml,511.23,512.16,,,a woman with long hair is smiling and talking,,,
184,175-185,5531550228324592939.xml,512.17,514.09,but a night out with the girls  is a no-no.,,a man is looking at a woman and then she falls down,,,
185,175-186,5531550228324592939.xml,514.1,514.15,,,a woman with long hair is smiling and talking,,,
186,175-187,5531550228324592939.xml,514.16,518.11,"Hang on, I got extra poppadoms.  Yes, Kat, Charlie's got extra poppadoms.",,a man is sitting on a couch and another man is dancing,Stacey Ryan,,
187,175-188,5531550228324592939.xml,518.12,520.05,"I worry about you, don't I?  That way at the Cellar I can keep me eye on you,",,a man is dancing in a room with other people,Ryan,,
188,175-189,5531550228324592939.xml,520.06,522.19,,,a man is dancing in a room with a woman,Ryan,,
189,175-190,5531550228324592939.xml,522.2,525.06,"what with your  swollen plates and all. Anyone mentions my feet,  they'll catch them with their teeth. Charlie's gone to all this effort.",,a woman is talking to a man and he is smiling,Stacey,Stacey,
190,175-191,5531550228324592939.xml,525.07,527.1,,,a man and a woman are kissing in a bathroom,,,
191,175-192,5531550228324592939.xml,527.11,534.05,Sweetheart a little Monday night  fixture's just what you need. Where's Jean? Still in the bath.,,a woman is talking to a man and he is smiling,Stacey,Stacey,
192,175-193,5531550228324592939.xml,534.06,539.24,"Right, well, she can catch us up.  I'm not hanging round here any longer  than I need to. What about Lily?",,a man in a kitchen with a woman in the foreground,Ryan,,Alfie
193,175-194,5531550228324592939.xml,540.0,543.18,"Money.  Whoa, no, I'm a bit short at the moment, love.",,a man and a woman are talking to each other,,,
194,175-195,5531550228324592939.xml,543.19,545.11,,,a woman is holding a child and a man is watching,Stacey Ryan,,
195,175-196,5531550228324592939.xml,545.12,548.22,"Really?  No! Kat, I need that to pay the geezer who's going to fix the telly, all right.",,a man is dancing in front of a woman,Stacey Ryan,,
196,175-197,5531550228324592939.xml,548.23,551.13,"You'll think of something.  Come on, Stace, the night awaits.",,a man is holding a plate with a pizza,,,
197,175-198,5531550228324592939.xml,551.14,553.06,,,a man is talking to a woman and she is smiling,Stacey Ryan,Stacey,
198,175-199,5531550228324592939.xml,553.07,554.16,Bye. ,,a man is dancing in front of a group of people,,,
199,175-200,5531550228324592939.xml,554.17,557.03,"And don't ask Jean to baby-sit,  she's meeting us!",,a man is talking to a woman and she is smiling,Stacey Ryan,Stacey,
200,175-201,5531550228324592939.xml,557.04,559.02,,,a man is putting his hand on another man s shoulder,,,
201,175-202,5531550228324592939.xml,559.03,563.08,"Oh, well.  More for us! ",,a man cutting a cake with a knife,Ryan,,
202,175-203,5531550228324592939.xml,563.09,567.04,"Yeah, could do with  a bit more rice(!)",,a man is smiling and then he looks away,Ryan,,
203,175-204,5531550228324592939.xml,567.05,568.12,,,a man is blowing a kiss to a woman,Ryan,Ryan,
204,175-205,5531550228324592939.xml,568.13,571.13,Same again.  Gin or whisky?,,a man is talking to a woman and she is smiling,Ryan,,
205,175-206,5531550228324592939.xml,571.14,572.22,Both. ,,a woman is sitting at a table with a man and a woman,Ryan,,Billy
206,175-207,5531550228324592939.xml,572.23,576.05,"Right, there you go.  Two gins, and what, two whiskies?  Aye aye.",,a man is dancing in a room with a lot of people,Ryan,,
207,175-208,5531550228324592939.xml,576.06,578.13,,,a woman is dancing and singing in a room,Ryan,,
208,175-209,5531550228324592939.xml,578.14,580.06,Christian! ,,a woman is cutting a cake with a knife,Ryan,,
209,175-210,5531550228324592939.xml,580.07,581.06,,,a woman is talking to a man and he is smiling,Ryan,,
210,175-211,5531550228324592939.xml,581.07,582.07,,,a man is singing and dancing in front of a microphone,,,
211,175-212,5531550228324592939.xml,582.08,583.05,"And Syed. You two joined  at the hip, then, or what?",,a woman is talking to a man and he is talking to her,,,
212,175-213,5531550228324592939.xml,583.06,584.14,,,a woman is talking to a man and he is smiling,,,
213,175-214,5531550228324592939.xml,584.15,587.12,"Oi, cheeky.  Right, hold on, a lager and orange juice, yeah?",,a man is talking to a woman and she is smiling,Ryan,,
214,175-215,5531550228324592939.xml,587.13,595.23,"Woah, whoa, I was here first.  Got a thirst on?  Was I talking to you? You want to brush up on your manners,  Billy. Mind your own business.",,a man is holding a microphone and talking to another man,Stacey Ryan,Ryan,
215,175-216,5531550228324592939.xml,595.24,597.06,,,a man and a woman are sitting together and talking,,,
216,175-217,5531550228324592939.xml,597.07,599.09,"Oi, oi! Here. Seven quid. ",,a man is talking to a woman and she is smiling,Stacey Ryan,,
217,175-218,5531550228324592939.xml,599.1,601.01,,,a man and woman are standing in front of a cake,Ryan,,
218,175-219,5531550228324592939.xml,601.02,601.22,,,a man is talking to a woman and she is smiling,,,
219,175-220,5531550228324592939.xml,601.23,603.03,,,a woman is talking to a man and he is smiling,Ryan,,
220,175-221,5531550228324592939.xml,603.04,604.14,,,a man is talking to a woman and she is smiling,Ryan,,
