,Unnamed: 0,begin,end,filename,shot_id,transcript,soap opera,score
15721,15721,00:14:36:17,00:14:41:24,5266645664934403562.xml,290,"It's been quite a week for you,  the alleged incident with the gun...",0.7123770117759705,1.424754023551941
17404,17404,01:46:39:11,01:46:42:22,5266645664934403562.xml,1973,"No, that's nonsense.  She just  told me how tough you'd had it.",0.7084721326828003,1.4169442653656006
16388,16388,00:49:06:10,00:49:09:01,5266645664934403562.xml,957,Jane Beale?  Callum there reckons she's  supposed to be very funny.,0.7022573351860046,1.4045146703720093
17606,17606,00:02:55:15,00:02:56:23,5269245838135402929.xml,70,There's been some trouble. ,0.7019715309143066,1.4039430618286133
15922,15922,00:25:02:13,00:25:06:17,5266645664934403562.xml,491,Veronica Mitchell?  Yeah.,0.7014606595039368,1.4029213190078735
18701,18701,01:08:42:06,01:08:43:10,5269245838135402929.xml,1165,# Der-duh-duh-duh-duh-duh-duh ,0.6991666555404663,1.3983333110809326
11440,11440,00:39:47:06,00:40:12:19,5258818087037440299.xml,809,"How much?  Isn't there some sort  of discount if your spouse is already a member? That's more like it, yeah.  Beale, Jane Beale.  Well, you must have  some record of her. Can't you check again?  This is Walford Gym, yeah? ",0.6942310333251953,1.3884620666503906
17062,17062,01:28:10:04,01:28:15:14,5266645664934403562.xml,1631,"Tan, they're clutching at straws,  hoping I'll crack under pressure.",0.6893138289451599,1.3786276578903198
10831,10831,00:07:51:23,00:07:53:17,5258818087037440299.xml,200,"Look, come on.  It's ""au revoir,  Albert Square"", you remember?",0.686337947845459,1.372675895690918
18646,18646,01:05:18:19,01:05:32:18,5269245838135402929.xml,1110,"Yeah, I can see why he liked you.  Yeah, and I can see why  Tanya likes you an' all. Cos you ain't that far from Max...  same old bully-boy mind games,  shifting the blame onto someone else.  You want to talk about guilt?",0.6828619837760925,1.365723967552185
22468,22468,01:15:38:05,01:15:43:22,5274434588125702436.xml,1375,"and we can sit on the sofa  and watch Thelma and Louise. Yeah. And we'll cheer as they drive  over the cliff, like we always do!",0.6820931434631348,1.3641862869262695
787,787,00:43:56:16,00:44:00:01,5245830105934359183.xml,788,"This is ridiculous, I'm not getting  into this. But it seemed like Callum was covering for you.",0.680800199508667,1.361600399017334
14707,14707,01:39:40:22,01:39:47:19,5264050645694159353.xml,1858,"He made me beg, Tans.  I was begging like a dog. I don't believe you.  Yeah, well, he's warped. Anything goes as long as  he comes out on top.",0.6737017631530762,1.3474035263061523
9990,9990,01:14:20:18,01:14:35:18,5256228221757951173.xml,1279,"No.  Because that's what'll happen. You go public with this,  and Bianca, Liam, Tiff, Morgan... me...  I sorted your stuff with the shrink.  No more questions.  But I need  to know, once and for all,",0.6734963059425354,1.3469926118850708
18939,18939,01:22:16:06,01:22:18:11,5269245838135402929.xml,1403,"Sorry Charlie, she's looped. ",0.6688963174819946,1.3377926349639893
21658,21658,00:31:27:15,00:31:29:23,5274434588125702436.xml,565,Off to play cabin boy to  Minty's Captain Pugwash.,0.655701220035553,1.311402440071106
16702,16702,01:07:10:06,01:07:21:16,5266645664934403562.xml,1271,"About me.  What? No.  Don't lie to me, Jane!  I heard Roxy  talking...  The whole square's talking about it! You're turning me into  a laughing stock! You promised me and I trusted you.  And now you're lying to my face.",0.6539199352264404,1.3078398704528809
19190,19190,00:07:50:01,00:08:22:11,5271844722846213628.xml,160,"Sean.  Why've you brought me here?  Well, seems Jack and Ronnie couldn't be bothered to open up. So how did you get in?  It's nothing a brick  couldn't fix, is it? Right, well, I take it you didn't  sort things out with Roxy? No.  Poppa Mitchell put paid to that.  What if somebody  finds out we're in here? Since when do you care  what Jack Branning thinks? Well, I don't.  And as for Ronnie, screw her.  Here's to not caring. Not caring. ",0.6513944864273071,1.3027889728546143
13153,13153,00:14:19:24,00:14:23:18,5264050645694159353.xml,304,"Listen, Ronnie, Jack Branning  leaving Walford will be the best thing that ever happened to you.",0.6493569016456604,1.2987138032913208
21650,21650,00:31:17:11,00:31:20:09,5274434588125702436.xml,557,Lauren Branning. ,0.6452264189720154,1.2904528379440308
4078,4078,01:41:46:13,01:41:47:02,5248439298566680341.xml,1998,"I can't take this.  First Max,  now you. Come on, don't mention me in the same breath as him.",0.6409642100334167,1.2819284200668335
8149,8149,01:27:08:00,01:27:10:03,5253646087419594905.xml,1540,Bianca?  B! ,0.6286464333534241,1.2572928667068481
3956,3956,01:33:41:11,01:33:43:05,5248439298566680341.xml,1876,"Well, well, well.  If it isn't Kerry and Kelly!",0.6267070770263672,1.2534141540527344
14492,14492,01:29:02:08,01:29:25:13,5264050645694159353.xml,1643,"Who is it?  No-one. Nothing's going on. You'd better tell me who it is,  Tony, cos I'm gonna scream this pub down.  Who?! All right. It was...  Ronnie Mitchell.  She's been coming on  to me all night.  I don't even fancy her.  Honest. Ronnie Mitchell?! She's half cut.  It doesn't mean  anything.  I put her in her place. What's up?  That cow!  Bianca, don't...",0.6266972422599792,1.2533944845199585
9474,9474,00:44:25:19,00:44:29:22,5256228221757951173.xml,763,"All right, Mrs Branning?  Eh?! I said, all right there? ",0.6228384971618652,1.2456769943237305
20490,20490,01:16:17:07,01:16:18:12,5271844722846213628.xml,1460,"Cos it's not about you,  it's about her.",0.6202905178070068,1.2405810356140137
4111,4111,01:44:01:10,01:44:05:16,5248439298566680341.xml,2031,I know Callum dumped me  cos he's got the hots for you.,0.6146367192268372,1.2292734384536743
8143,8143,01:26:52:11,01:26:55:05,5253646087419594905.xml,1534,You didn't!  Didn't what? You really are such a flirt.,0.6119799613952637,1.2239599227905273
15148,15148,02:07:01:24,02:07:12:16,5264050645694159353.xml,2299,"Chuck in a daily dose  of Loose Women and... the odd slanging match  with Peggy Mitchell. Ain't exactly heaven,  but it's pretty damn close.",0.611819326877594,1.223638653755188
4851,4851,00:27:12:19,00:27:14:21,5251033029316736209.xml,535,"Where is it, Suze?!  Gone. Gone where?",0.6117713451385498,1.2235426902770996
3697,3697,01:19:42:11,01:19:45:17,5248439298566680341.xml,1617,"It's Stacey, isn't it? ",0.608084499835968,1.216168999671936
6371,6371,01:44:04:09,01:44:13:15,5251033029316736209.xml,2055,Bianca's really upset.  And after everything... ,0.6076685190200806,1.2153370380401611
22419,22419,01:12:15:13,01:12:26:11,5274434588125702436.xml,1326,"What's going on?!  The customers are not happy with their limp sandwiches. Bianca, I've told you before  about your stingy ways.",0.6061491370201111,1.2122982740402222
17339,17339,01:43:48:00,01:43:49:24,5266645664934403562.xml,1908,Lauren!  Lauren!  Oi! ,0.605745255947113,1.211490511894226
19844,19844,00:42:13:24,00:42:17:21,5271844722846213628.xml,814,Let's see what the old  geezer's really been up to...,0.6050670146942139,1.2101340293884277
18706,18706,01:08:46:18,01:08:51:09,5269245838135402929.xml,1170,# Der-der-der-der-duh-  duh-duh-duh-duh...  #,0.603602409362793,1.207204818725586
19574,19574,00:29:06:18,00:29:09:01,5271844722846213628.xml,544,Calling you...Kathy Bates and that. ,0.6033328771591187,1.2066657543182373
3024,3024,00:48:29:01,00:48:35:19,5248439298566680341.xml,944,"It's...acting, they'll pretend.  Well, you say that, but have you seen Peter Beale  recently?  He's gorgeous. Bianca!",0.6029011607170105,1.205802321434021
2392,2392,00:16:49:16,00:16:58:17,5248439298566680341.xml,312,"Turn that telly down!  Oh, I didn't disturb you, did I,  darling? No, we're fine, thanks.",0.5917404890060425,1.183480978012085
2373,2373,00:15:40:23,00:15:51:13,5248439298566680341.xml,293,"Two-faced cow.  You don't wanna take any notice. I'm not.  I'm bigger than that.  Not bigger than her, though, thank goodness.",0.5877856612205505,1.175571322441101
15793,15793,00:18:48:14,00:18:51:20,5266645664934403562.xml,362,"You've got to admit it,  Tanya's brought this all on herself.",0.5868144035339355,1.173628807067871
3927,3927,01:32:45:17,01:32:50:07,5248439298566680341.xml,1847,"Can I help you?  Erm, yeah.  I'd like to know what room Selena Branning is in, please?",0.5814641118049622,1.1629282236099243
14719,14719,01:40:24:15,01:40:27:13,5264050645694159353.xml,1870,It's not true.  None of it.  I don't believe it.,0.5797774791717529,1.1595549583435059
9823,9823,01:04:29:24,01:04:32:17,5256228221757951173.xml,1112,"But come on, Peggy, if you're  this suspicious of him now,",0.5783096551895142,1.1566193103790283
5311,5311,00:51:22:22,00:51:26:07,5251033029316736209.xml,995,It's Mrs Branning! ,0.5779836177825928,1.1559672355651855
6804,6804,00:11:29:03,00:11:41:20,5253646087419594905.xml,195,"Right.  You sure you don't wanna  give the am-dram a rest for tonight, Whit? Actually.  You know what, Tony?  You was right.  It's not every day we  have a proper family outing, is it?",0.5768730044364929,1.1537460088729858
19260,19260,00:11:19:08,00:11:24:20,5271844722846213628.xml,230,"Why don't you come  and watch telly with me, eh? Come on. ",0.5744903087615967,1.1489806175231934
5230,5230,00:46:17:12,00:46:28:23,5251033029316736209.xml,914,"You've...got your hands  full with Archie, ain't ya?",0.5702570676803589,1.1405141353607178
9042,9042,00:19:13:16,00:19:19:23,5256228221757951173.xml,331,"Don't get the hump.  Mum's been banging on about Ben. Buck your game up, or I'll  have to look for another daddy.",0.5692030787467957,1.1384061574935913
21315,21315,00:12:03:14,00:12:06:14,5274434588125702436.xml,222,"Bianca's gone off sick,  didn't she tell you?",0.5666987895965576,1.1333975791931152
791,791,00:44:05:24,00:44:08:00,5245830105934359183.xml,792,"Because me and him,  we're at it like rabbits.",0.5634871125221252,1.1269742250442505
9537,9537,00:48:26:02,00:48:32:06,5256228221757951173.xml,826,"OK Veronica, what d'you want?  I want you to leave Peggy,  and Walford, right now.",0.5567904710769653,1.1135809421539307
524,524,00:30:14:04,00:30:43:06,5245830105934359183.xml,525,"Look if you can't find it...  No, it's definitely here somewhere... As you can see big sis  is as messy as ever. You're a brave man  moving in with her. She's having a house warming later,  few people from the Square.  She wondered if you and Tanya wanted to come. Me and Tan?  Yeah, you know what she's like, all last minute. She come up with the  idea last night, said who she wanted to invite... What and you're all right with that?  Well, she put the list together,  I ain't got a problem with it.",0.5496270060539246,1.0992540121078491
20864,20864,01:39:35:09,01:39:37:19,5271844722846213628.xml,1834,"I ain't buying this.  This is stupid.  Buying what?  You.  You're up to something, I can smell it on you.",0.5488113164901733,1.0976226329803467
23080,23080,01:51:59:10,01:52:05:24,5274434588125702436.xml,1987,Nobody wants me.  Nobody cares about me. ,0.5486012101173401,1.0972024202346802
768,768,00:42:23:10,00:42:24:20,5245830105934359183.xml,769,"There you go, Jack,  Phil's the Hammers.",0.5484623908996582,1.0969247817993164
3225,3225,00:58:53:21,00:58:56:06,5248439298566680341.xml,1145,"You've got some front,  talking to Ricky like that.",0.5471984148025513,1.0943968296051025
18892,18892,01:19:42:13,01:19:51:14,5269245838135402929.xml,1356,"Where's Roxy?  She coming down?  Yeah, she's just fixing her face...  there's been tears again.  I'd better go up there.  You  have warned her he's not worth it?",0.5458289980888367,1.0916579961776733
4017,4017,01:37:25:09,01:37:31:02,5248439298566680341.xml,1937,"Oh, Laughing Boy had to be involved,  didn't he?  So where's the trust?",0.5453147888183594,1.0906295776367188
5120,5120,00:39:57:14,00:39:59:00,5251033029316736209.xml,804,It keeps repeating on me. ,0.5441353917121887,1.0882707834243774
7600,7600,00:55:47:23,00:55:52:00,5253646087419594905.xml,991,"No, no, Stacey's  not interested in you.",0.5420358180999756,1.0840716361999512
1858,1858,01:42:05:16,01:42:16:05,5245830105934359183.xml,1859,"Bianca, what's wrong?  What is it?  What's happened?  Tony ain't coming. ",0.5400090217590332,1.0800180435180664
4435,4435,00:05:34:22,00:05:47:00,5251033029316736209.xml,119,"Bradley!  Good luck!  See you've made up your mind,  ""Mrs Branning""! ",0.538354218006134,1.076708436012268
18642,18642,01:04:41:22,01:04:49:04,5269245838135402929.xml,1106,So she did it...so what?  Why do you  have to make sure she gets punished? And her kids keep suffering...  why can't you just withdraw  the statement and let them be?,0.5381661057472229,1.0763322114944458
16934,16934,01:21:13:02,01:21:19:15,5266645664934403562.xml,1503,But all this stuff... ,0.535147488117218,1.070294976234436
9896,9896,01:08:55:05,01:08:58:09,5256228221757951173.xml,1185,What are we gonna do  about this Suzy situation?,0.5313665270805359,1.0627330541610718
18982,18982,01:24:12:20,01:24:14:13,5269245838135402929.xml,1446,"Oh, Archie!  Her water's broken. ",0.5291414856910706,1.0582829713821411
20915,20915,01:43:16:14,01:43:33:12,5271844722846213628.xml,1885,Suzy? ,0.5280050039291382,1.0560100078582764
17945,17945,00:20:06:22,00:20:35:21,5269245838135402929.xml,409,"Tan.  Stop.  Please!  I've made up my mind.  But the police don't know anything!  Why tell them now? Because it's the right thing to do.  No.  No!  I'm not letting you ruin  everything!  Not now. Look, I've made up my mind, right.  You've got no choice.  Don't matter what you say. I'm doing it.  So you'd better let me go. ",0.5279117226600647,1.0558234453201294
9047,9047,00:19:23:16,00:19:25:17,5256228221757951173.xml,336,Trouble in paradise? ,0.5268183946609497,1.0536367893218994
18773,18773,01:11:54:10,01:12:09:09,5269245838135402929.xml,1237,"Oh, I don't know.  I keep calling him and nothing, and Stacey doesn't know where he is. I should have never have taken that  flat, not behind his back, he was always gonna flip out about it. And you're sure that's what  this is about?  The flat? Yeah, why?  What else? ",0.5236223936080933,1.0472447872161865
2984,2984,00:46:44:21,00:46:47:16,5248439298566680341.xml,904,"So, Abi's lying?  She just said that  to get you into trouble?",0.5222686529159546,1.0445373058319092
16444,16444,00:52:24:11,00:52:26:22,5266645664934403562.xml,1013,"Come on, Jane!  Come on, love! ",0.5217183232307434,1.0434366464614868
19626,19626,00:31:27:13,00:31:33:13,5271844722846213628.xml,596,"Roxy's just given birth,  all right.  She didn't mean half the things she said.",0.5189587473869324,1.0379174947738647
23056,23056,01:48:46:03,01:49:04:23,5274434588125702436.xml,1963,"You think you can just waltz  into my bed and waltz out again? It shouldn't have happened.  Damn right it shouldn't! I'm with Suzy now.  Then why did you sleep with me?  After all this time, Phil?  Why now?  Phil, talk to me! ",0.516701340675354,1.033402681350708
17095,17095,01:30:16:17,01:30:21:01,5266645664934403562.xml,1664,"Ahh, moving in with Suzy today?  Yeah, so what?  I'm ill, all right?  Just leave me alone!",0.5149384140968323,1.0298768281936646
7522,7522,00:51:08:20,00:51:11:10,5253646087419594905.xml,913,He's gonna stuff up. ,0.5059936046600342,1.0119872093200684
16038,16038,00:30:34:21,00:30:38:14,5266645664934403562.xml,607,Peggy.  What? Ben coming home. This is down to Suzy? No.  Phil said  Ben is set on coming home.,0.505936324596405,1.01187264919281
13142,13142,00:13:37:01,00:13:39:00,5264050645694159353.xml,293,What?  We've got a sausage roll crisis.,0.5044754147529602,1.0089508295059204
19138,19138,00:05:41:18,00:05:46:12,5271844722846213628.xml,108,"Tell me, Suzy - ",0.503329336643219,1.006658673286438
7433,7433,00:46:09:21,00:46:12:01,5253646087419594905.xml,824,"Well, was it A) Vivacious Veronica,  or B) Veronica Vile?",0.5033208131790161,1.0066416263580322
16440,16440,00:51:33:06,00:52:16:15,5266645664934403562.xml,1009,"You think I'm going to give up  because you decided to throw a strop? Whatever. Fine.  Sit on your own,  play your games. But you ain't gonna  get rid of me that easy. I ain't missed Jane, have I?  No. You going to get us a drink then?  Yep. Listen.  About getting away, the brochure and that. Bianca, we can't afford it...  I know, forget it, it's gone. What, we're not going away? No. All right, it's for the best.  Why go away when a quiet night  with just us is all we need? What? Pat's got the kids on Thursday,  we've got the place to ourselves. Wait until you see your present.  Ladies and gentlemen,  please welcome Walford's Queen of Comedy, Jane Beale.",0.5019639730453491,1.0039279460906982
19877,19877,00:44:34:06,00:44:40:02,5271844722846213628.xml,847,She went into premature  labour yesterday. She all right?  Yeah. Making everyone jump through hoops  as usual. Is the baby all right?,0.501517653465271,1.003035306930542
7373,7373,00:43:23:14,00:43:25:01,5253646087419594905.xml,764,"So, big news about  your mum, eh? Yeah.",0.4998827874660492,0.9997655749320984
12087,12087,01:12:59:00,01:13:03:00,5258818087037440299.xml,1456,What the...?!  Bonsoir. I thought I told you not to do this.,0.49816474318504333,0.9963294863700867
6337,6337,01:42:08:15,01:42:13:23,5251033029316736209.xml,2021,SHE SIGHS  Argh! Bianca!  YOU wound me up about him.,0.4970625638961792,0.9941251277923584
1557,1557,01:23:57:01,01:23:59:08,5245830105934359183.xml,1558,Bianca's do. ,0.4964049160480499,0.9928098320960999
18704,18704,01:08:45:18,01:08:46:10,5269245838135402929.xml,1168,# Der-der-der-der-duh-  duh-duh-duh-duh,0.4962799549102783,0.9925599098205566
15795,15795,00:18:54:08,00:18:55:19,5266645664934403562.xml,364,"Abi, Lauren and Oscar  brought it on themselves?!",0.4925149977207184,0.9850299954414368
14138,14138,01:07:43:20,01:07:59:03,5264050645694159353.xml,1289,"I don't know what's the matter with  her.  She's been fine all holiday. She's back here a couple of hours  and bang, she's a stroppy cow again. She's just tired from travelling. I'm a bit sleepy.  Fancy coming back  and tucking me up? What's the rush?",0.48977595567703247,0.9795519113540649
16682,16682,01:05:59:06,01:06:00:21,5266645664934403562.xml,1251,and we're all getting under each  other's feet.,0.4882563054561615,0.976512610912323
78,78,00:04:40:23,00:04:44:08,5245830105934359183.xml,79,"So this boy, you got a name?  Can we just drop it, because you're  gonna have a go at me no matter what I say. No, I won't.",0.48681581020355225,0.9736316204071045
17237,17237,01:37:41:18,01:37:43:07,5266645664934403562.xml,1806,"The police think one of you did it,  don't they?  That's why they keep coming back.",0.4866754412651062,0.9733508825302124
17376,17376,01:45:07:03,01:45:08:06,5266645664934403562.xml,1945,About Suzy. ,0.48636916279792786,0.9727383255958557
13022,13022,00:08:10:01,00:08:31:17,5264050645694159353.xml,173,"How come you aren't working today?  Cos I'm helping you pack, aren't I? So why aren't we packing? Because you've been working very  hard and you need a bit of a break. We've all got lists and timetables. Oh, what a nightmare!  Em...garcon!  Lucy! That's what they do in  France, innit? Hi.",0.4848083257675171,0.9696166515350342
21437,21437,00:19:42:04,00:19:52:08,5274434588125702436.xml,344,Chelse!  Chelsea! ,0.4828101694583893,0.9656203389167786
15250,15250,02:13:06:07,02:13:10:09,5264050645694159353.xml,2401,"Come and listen to us paper over the  cracks of our past mistakes with a load of smug, self-serving rubbish!",0.48267993330955505,0.9653598666191101
22459,22459,01:14:25:15,01:15:04:10,5274434588125702436.xml,1366,"I was going to tell you.  I was just waiting for  the right time, that's all. Do you seriously think I'd leave  without letting you know? So is that what all today's been  about, you buttering me up? No. I just wanted us to have  some fun before I left. Look, Hev, no matter where I am, you  and me, we're always gonna be mates. Just like Thelma and Louise.  Except now Vinnie's going to be Thelma. Or Louise.  I can never remember which is which.  So you're really going, then? ",0.48223456740379333,0.9644691348075867
15758,15758,00:17:06:07,00:17:08:07,5266645664934403562.xml,327,"No, enough of this, all right?  I want you there.",0.4813269376754761,0.9626538753509521
11802,11802,00:58:50:06,00:58:54:19,5258818087037440299.xml,1171,"No, you've gotta promise me  you won't say a word. Right, my lips are sealed. ",0.48131734132766724,0.9626346826553345
4218,4218,01:49:52:19,01:49:54:14,5248439298566680341.xml,2138,"Nothing to come between us now,  is there?  My life is just one big game to you, innit?",0.48034706711769104,0.9606941342353821
12964,12964,00:05:54:19,00:06:06:16,5264050645694159353.xml,115,"And pull out.  Into gear, clutch, accelerate, handbrake... Mirrors!  Yeah, I did the mirrors! You did not do your mirrors! I did!  You never! OK, move on, move on.",0.4796156883239746,0.9592313766479492
15058,15058,02:01:32:06,02:01:34:18,5264050645694159353.xml,2209,"No.  What you gonna do, Mum? Try and break us up again?",0.4738127887248993,0.9476255774497986
8352,8352,01:37:04:21,01:37:09:02,5253646087419594905.xml,1743,You've been saying that since this  all kicked off.  How much longer? Maybe it's not time she needs.  Maybe she's...? What?,0.47150346636772156,0.9430069327354431
22596,22596,01:23:03:15,01:23:06:12,5274434588125702436.xml,1503,"Bianca's at work, ",0.4707244634628296,0.9414489269256592
19230,19230,00:09:54:01,00:09:55:07,5271844722846213628.xml,200,Trust me to get Kathy flamin' Bates  to deliver my baby.,0.47009649872779846,0.9401929974555969
16079,16079,00:32:13:12,00:32:14:18,5266645664934403562.xml,648,"Oh, Bianca!  No, it's all right. ",0.4696792960166931,0.9393585920333862
7199,7199,00:33:51:23,00:33:57:11,5253646087419594905.xml,590,But you ain't gonna  go through with it. So.,0.469116747379303,0.938233494758606
22364,22364,01:09:14:24,01:09:16:23,5274434588125702436.xml,1271,Covering with some story  about staying at her mate's.,0.46836087107658386,0.9367217421531677
6746,6746,00:08:16:07,00:08:38:08,5253646087419594905.xml,137,"You can't go to the pictures  on your own tonight! You're welcome to join me.  I would, but I'm driving till seven. And, well, you know  what my boss is like. Yeah, I've heard  she's a bit of a tyrant. I tell you what.  I'll cook us all  a nice dinner when you get back. It'll be like a proper celebration.  Pat's only been the other side  of the square for most of the week. You're laying it on a bit thick. ",0.46774742007255554,0.9354948401451111
19863,19863,00:43:31:01,00:43:47:00,5271844722846213628.xml,833,"You've got me.  Yeah, until the next  bloke comes along. I woke up this morning thinking  I'd find Sean waiting for me. You did tell him where to go, Rox.  I know.",0.4677451550960541,0.9354903101921082
17554,17554,00:01:09:08,00:01:14:24,5269245838135402929.xml,18,"Everything OK now, Mrs Branning?  Um, no, not really, it's... It's Lauren.  She's finding this  all a bit upsetting.  Having the police in the house.",0.46704423427581787,0.9340884685516357
19090,19090,00:03:11:18,00:03:37:01,5271844722846213628.xml,60,"Don't usually see you behind the bar.  No.  Roxy's having a bit of a hissy  fit upstairs.  On your own, are you? Now, don't even go there, Suzy.  All right.  Erm, can I have a pint  and a vodka and tonic, please? Oi.  You reckon the kids'll  be all right? Always fretting about something!  Why don't you try paying me a bit of attention?",0.46695661544799805,0.9339132308959961
10229,10229,01:29:06:07,01:29:14:08,5256228221757951173.xml,1518,"Hello...  Carrie, it's Billy Mitchell. ",0.4664936363697052,0.9329872727394104
19088,19088,00:03:10:03,00:03:10:22,5271844722846213628.xml,58,One charity case to another. ,0.46639394760131836,0.9327878952026367
2656,2656,00:30:03:16,00:30:29:19,5248439298566680341.xml,576,"Who got the part of Juliet?  It's not Juliet, it's Julie. Yeah, but who got the part though?  Whitney Dean. Bianca's girl? It was a stitch up.  Libby's assistant director, and she wanted her for the part.  Auditioning was a waste of time. Corruption in high places.  You sound like you're bitter. I never even wanted  to be in the stupid play. What's the problem, then?  She's gonna be snogging Peter, ain't she? It's not funny.  I get it now. Jack? Jack?  How long has this been  in the back of your sock drawer?",0.4663555324077606,0.9327110648155212
12385,12385,01:31:23:14,01:31:25:10,5258818087037440299.xml,1754,"Personally, I think if you can  hear them whining,",0.4660475254058838,0.9320950508117676
7247,7247,00:36:07:11,00:36:11:07,5253646087419594905.xml,638,"Roxy is so selfish,  going on honeymoon.",0.4660128355026245,0.932025671005249
21643,21643,00:31:05:03,00:31:07:03,5274434588125702436.xml,550,As the tension mounts... ,0.46542122960090637,0.9308424592018127
5614,5614,01:07:18:09,01:07:20:05,5251033029316736209.xml,1298,"Oh, Pat, please...  What's happened to you Peggy?",0.4654022753238678,0.9308045506477356
15936,15936,00:25:46:03,00:25:49:03,5266645664934403562.xml,505,"Come on, We're going to end this  thing the way we started it...",0.46515199542045593,0.9303039908409119
3869,3869,01:29:01:18,01:29:02:15,5248439298566680341.xml,1789,Why you going to see Selena? ,0.46461641788482666,0.9292328357696533
17858,17858,00:16:00:24,00:16:05:02,5269245838135402929.xml,322,"Yeah.  Just like Suzy's make-up, eh? ",0.4645828902721405,0.929165780544281
11604,11604,00:48:34:16,00:48:38:09,5258818087037440299.xml,973,"Tanya know about your little white  knight act with Ronnie, does she?",0.4624596834182739,0.9249193668365479
1901,1901,01:43:51:10,01:43:54:14,5245830105934359183.xml,1902,"This is Pat.  You've heard all about  her. Oh, dear, what's she been telling ya?  Terrible things, I bet.",0.4586848318576813,0.9173696637153625
